"seed","phi","sample_size","model","equation","parameter","value"
47,0,1000,"Strict","ES","Intercept",-0.0894371027398426
47,0,1000,"Strict","ES","Slope",0.960740307010468
48,0,1000,"Auxiliary","Q","Intercept",-0.265934674667409
48,0,1000,"Auxiliary","Q","Slope",0.664187776354533
48,0,1000,"Auxiliary","ES","Intercept",-0.320940374218997
48,0,1000,"Auxiliary","ES","Slope",0.624723128074359
48,0,1000,"Strict","Q","Intercept",-0.265934036298063
48,0,1000,"Strict","Q","Slope",0.556841523076579
48,0,1000,"Strict","ES","Intercept",-0.322966247670272
48,0,1000,"Strict","ES","Slope",0.622488310041649
49,0,1000,"Auxiliary","Q","Intercept",0.00419483616085992
49,0,1000,"Auxiliary","Q","Slope",1.01225195928181
49,0,1000,"Auxiliary","ES","Intercept",0.00674627196788857
49,0,1000,"Auxiliary","ES","Slope",1.0098764254824
49,0,1000,"Strict","Q","Intercept",0.00433913001583397
49,0,1000,"Strict","Q","Slope",0.848857116974201
49,0,1000,"Strict","ES","Intercept",0.00660493296847586
49,0,1000,"Strict","ES","Slope",1.01006599328804
50,0,1000,"Auxiliary","Q","Intercept",0.0600230124938388
50,0,1000,"Auxiliary","Q","Slope",1.09704201388813
50,0,1000,"Auxiliary","ES","Intercept",-0.0813627745183396
50,0,1000,"Auxiliary","ES","Slope",0.962590437395538
50,0,1000,"Strict","Q","Intercept",0.0600346588093543
50,0,1000,"Strict","Q","Slope",0.91974501872968
50,0,1000,"Strict","ES","Intercept",-0.0813836508667551
50,0,1000,"Strict","ES","Slope",0.962582785074442
51,0,1000,"Auxiliary","Q","Intercept",-0.0624885946070699
51,0,1000,"Auxiliary","Q","Slope",0.942953859469886
51,0,1000,"Auxiliary","ES","Intercept",-0.127709556205139
51,0,1000,"Auxiliary","ES","Slope",0.90264746308704
51,0,1000,"Strict","Q","Intercept",-0.0624879814741279
51,0,1000,"Strict","Q","Slope",0.790559721483071
51,0,1000,"Strict","ES","Intercept",-0.12945753328599
51,0,1000,"Strict","ES","Slope",0.901183430379753
52,0,1000,"Auxiliary","Q","Intercept",-0.0712499739618802
52,0,1000,"Auxiliary","Q","Slope",0.980945379488382
52,0,1000,"Auxiliary","ES","Intercept",-0.286240283561005
52,0,1000,"Auxiliary","ES","Slope",0.783280554297778
52,0,1000,"Strict","Q","Intercept",-0.0712500881930649
52,0,1000,"Strict","Q","Slope",0.822400199372297
52,0,1000,"Strict","ES","Intercept",-0.286112142017857
52,0,1000,"Strict","ES","Slope",0.783806412797178
53,0,1000,"Auxiliary","Q","Intercept",0.157188109027701
53,0,1000,"Auxiliary","Q","Slope",1.13152833075784
53,0,1000,"Auxiliary","ES","Intercept",0.167415859484562
53,0,1000,"Auxiliary","ES","Slope",1.14573701830932
53,0,1000,"Strict","Q","Intercept",0.157164022501261
53,0,1000,"Strict","Q","Slope",0.948622795509382
53,0,1000,"Strict","ES","Intercept",0.175588648532759
53,0,1000,"Strict","ES","Slope",1.15294878288951
54,0,1000,"Auxiliary","Q","Intercept",-0.326980615985293
54,0,1000,"Auxiliary","Q","Slope",0.633634605454218
54,0,1000,"Auxiliary","ES","Intercept",-0.422968002124456
54,0,1000,"Auxiliary","ES","Slope",0.589582770069925
54,0,1000,"Strict","Q","Intercept",-0.326980307455646
54,0,1000,"Strict","Q","Slope",0.531225307753602
54,0,1000,"Strict","ES","Intercept",-0.425882062311419
54,0,1000,"Strict","ES","Slope",0.586971664348564
55,0,1000,"Auxiliary","Q","Intercept",-0.104518068791249
55,0,1000,"Auxiliary","Q","Slope",0.921526907798974
55,0,1000,"Auxiliary","ES","Intercept",-0.244294337401688
55,0,1000,"Auxiliary","ES","Slope",0.73898166570622
55,0,1000,"Strict","Q","Intercept",-0.104489196431186
55,0,1000,"Strict","Q","Slope",0.772620671020843
55,0,1000,"Strict","ES","Intercept",-0.249997975121294
55,0,1000,"Strict","ES","Slope",0.733880144839666
56,0,1000,"Auxiliary","Q","Intercept",0.020123173950231
56,0,1000,"Auxiliary","Q","Slope",1.07421873401978
56,0,1000,"Auxiliary","ES","Intercept",-0.00963467392701411
56,0,1000,"Auxiliary","ES","Slope",1.02024583977293
56,0,1000,"Strict","Q","Intercept",0.0201250435258529
56,0,1000,"Strict","Q","Slope",0.900603857097863
56,0,1000,"Strict","ES","Intercept",-0.0124406673126085
56,0,1000,"Strict","ES","Slope",1.01622900216676
57,0,1000,"Auxiliary","Q","Intercept",0.101404913402637
57,0,1000,"Auxiliary","Q","Slope",1.11063022279302
57,0,1000,"Auxiliary","ES","Intercept",0.142911378006955
57,0,1000,"Auxiliary","ES","Slope",1.12383678442976
57,0,1000,"Strict","Q","Intercept",0.101409095772863
57,0,1000,"Strict","Q","Slope",0.931131482615159
57,0,1000,"Strict","ES","Intercept",0.14094364569661
57,0,1000,"Strict","ES","Slope",1.12170822350828
58,0,1000,"Auxiliary","Q","Intercept",0.151434857075184
58,0,1000,"Auxiliary","Q","Slope",1.15939480288936
58,0,1000,"Auxiliary","ES","Intercept",0.329021918653223
58,0,1000,"Auxiliary","ES","Slope",1.29664577646356
58,0,1000,"Strict","Q","Intercept",0.151428808832119
58,0,1000,"Strict","Q","Slope",0.972004697950174
58,0,1000,"Strict","ES","Intercept",0.329103525988685
58,0,1000,"Strict","ES","Slope",1.29651904839794
59,0,1000,"Auxiliary","Q","Intercept",0.153648596262844
59,0,1000,"Auxiliary","Q","Slope",1.20098245524654
59,0,1000,"Auxiliary","ES","Intercept",0.0890884747539784
59,0,1000,"Auxiliary","ES","Slope",1.12293055496263
59,0,1000,"Strict","Q","Intercept",0.153664088481886
59,0,1000,"Strict","Q","Slope",1.00689022436366
59,0,1000,"Strict","ES","Intercept",0.0846459459601017
59,0,1000,"Strict","ES","Slope",1.11862808271113
